"","id","year","mo","day","temp","visib","num_collisions"
"52",343,2013,6,6,16.8,4.8,571
"53",389,2013,7,3,23.8,5.7,571
"54",32,2012,8,3,22.3,7.8,616
"55",885,2014,12,2,5.8,9.9,611
"56",233,2013,2,1,-4.1,9.3,398
"57",830,2014,10,3,18.4,9.4,639
"58",1079,2015,6,7,19.4,10,578
"59",2120,2018,4,5,6.2,10,707
"60",796,2014,9,4,20.8,9.9,727
"61",2320,2018,11,2,13.8,2.1,679
"62",2066,2018,2,7,5.8,6.4,448
"63",552,2014,1,5,-4.3,0.8,423
"64",2397,2019,1,2,-9,10,627
"65",2314,2018,10,3,7.7,10,646
"66",621,2014,3,4,0.1,3.9,545
"67",2624,2019,9,5,15.2,9.1,591
"68",760,2014,7,3,19.6,9.3,605
"69",1401,2016,5,7,7.3,9.7,484
"70",790,2014,8,5,19.6,10,631
"71",1196,2015,10,5,14.9,9.8,764
"72",2054,2018,2,2,-0.3,10,613
"73",1220,2015,11,1,14.6,9.5,613
"74",1009,2015,4,7,5.3,10,422
"75",1067,2015,6,2,11.9,6.6,642
"76",1388,2016,4,1,9.7,10,687
"77",274,2013,3,7,6.1,10,426
"78",225,2013,2,7,-4.1,8.9,400
"79",2577,2019,7,7,24.8,6.7,477
"80",1324,2016,2,7,-14.6,8.5,309
"81",1995,2017,12,6,-0.6,8,661
"82",2336,2018,11,4,-3.9,10,412
"83",48,2012,8,5,25.5,9.5,574
"84",2210,2018,7,4,19.9,10,739
"85",1257,2015,12,3,6.5,10,575
"86",570,2014,1,2,-1.6,8.5,1161
"87",625,2014,3,1,-1.9,10,519
"88",2312,2018,10,1,12.7,9.8,696
"89",9,2012,7,1,25.8,10,533
"90",1878,2017,8,1,21.1,9.8,627
"91",1908,2017,9,3,18.9,3.2,583
"92",334,2013,5,4,16.1,6.1,685
"93",43,2012,8,7,25.4,8.7,505
"94",2708,2019,11,5,4.7,10,425
"95",1396,2016,4,2,8.2,9,479
"96",540,2013,12,7,11.1,2.1,505
"97",872,2014,11,3,0.9,10,633
"98",18,2012,7,3,29.6,7.2,559
"99",1251,2015,12,4,11.9,6.4,623
"100",2679,2019,10,4,16.9,5.4,616
"101",365,2013,6,7,18.6,1.9,423
"102",1941,2017,10,1,15.3,6.5,669
"103",1963,2017,11,2,7.8,10,647
"104",1879,2017,8,2,21.4,6.4,684
"105",994,2015,3,6,1.2,7,507
"106",2527,2019,6,6,12.9,6.2,557
"107",2466,2019,4,1,5.4,10,602
"108",1362,2016,3,3,9.2,8.5,621
"109",593,2014,2,4,2.8,6.3,447
"110",2197,2018,7,5,21.4,4.8,654
"111",112,2012,10,6,17.1,5,587
"112",2505,2019,5,5,9.1,9.4,660
"113",764,2014,8,7,19.1,6,476
"114",1615,2016,12,4,11.9,6.6,734
"115",2262,2018,9,7,17,10,556
"116",1736,2017,4,6,4.3,3.3,591
"117",173,2012,12,4,4.3,10,606
"118",2271,2018,9,2,21.7,8.1,740
"119",350,2013,6,6,16.9,10,596
"120",1792,2017,5,6,14.2,10,475
"121",2429,2019,2,6,1.6,10,439
"122",2228,2018,8,1,23.8,6.3,632
"123",758,2014,7,1,20.8,4.8,595
"124",612,2014,3,2,-4,10,532
"125",2028,2018,1,4,0.2,8.4,634
"126",1165,2015,9,2,24.7,9.1,795
"127",732,2014,7,3,20.6,7.2,658
"128",2170,2018,6,6,17.2,9.8,706
"129",1747,2017,4,3,9.5,8.3,540
"130",906,2014,12,2,8.6,6.6,732
"131",1190,2015,10,6,13.1,7.9,556
"132",1914,2017,9,2,18.8,2.6,656
"133",172,2012,12,3,6.7,10,590
"134",654,2014,4,2,11.4,6.6,452
"135",698,2014,5,4,11.1,10,663
"136",2696,2019,11,7,5.3,10,444
"137",299,2013,4,4,10.4,7.2,583
"138",2025,2018,1,1,-0.2,9.1,523
"139",2666,2019,10,5,12.8,10,634
"140",850,2014,10,2,12.4,9.9,571
"141",1443,2016,6,7,18.9,7.3,587
"142",1752,2017,4,1,13.6,8.7,488
"143",1120,2015,7,6,20.3,9.7,451
"144",2255,2018,9,7,19.4,10,528
"145",1701,2017,2,6,9.9,6.5,573
"146",2327,2018,11,2,11.1,5.8,754
"147",1473,2016,7,2,19.3,10,662
"148",1803,2017,6,3,12.5,8.4,675
"149",526,2013,12,7,1.1,10,456
"150",1960,2017,11,6,-1,10,623
"151",79,2012,9,1,19.2,10,452
"152",1952,2017,11,5,14.8,3.4,776
"153",770,2014,8,6,21.3,9.9,538
"154",1276,2015,12,1,4.9,9.3,490
"155",2627,2019,9,1,17.7,9.8,603
"156",1846,2017,7,4,23.7,5.3,774
"157",388,2013,7,2,22.3,3.7,571
"158",281,2013,4,7,4.3,10,451
"159",2467,2019,4,2,2.8,10,553
"160",2700,2019,11,4,6.3,10,647
"161",1112,2015,7,5,18.3,10,659
"162",1379,2016,4,6,5.4,10,557
"163",1119,2015,7,5,22.1,10,490
"164",1970,2017,11,2,10.6,10,790
"165",412,2013,8,5,19.7,10,678
"166",2644,2019,9,4,18.2,9.9,645
"167",1709,2017,3,7,-6.2,10,489
"168",565,2014,1,4,4.9,4.6,521
"169",2192,2018,7,7,21.6,8.8,563
