"","id","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","mon","tue","wed","thu","fri","sat","sun","temp","visib","wdsp","slp","dewp","num_collisions"
"1276",915,2015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,18.3,10,6.9,1019.1,14.2,659
"1277",569,2014,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,19.6,9.3,6.3,1015.5,15.9,605
"1278",2053,2018,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,18.9,6.3,9.7,1024.7,17.7,718
"1279",1240,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,14.5,9.8,11,1014.9,11.8,584
"1280",332,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-0.4,10,7.5,1038.9,-9.2,479
"1281",2239,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.8,10,14.6,1023,0.3,624
"1282",1575,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.2,10,12.3,1010.8,8.3,694
"1283",1645,2017,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,16.6,10,8.4,1017.7,15.1,610
"1284",1715,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,17.6,8.4,18.2,1019.9,17,657
"1285",1675,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,17.8,9.9,4.3,1023,13.8,570
"1286",1268,2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,16.5,6.5,12.4,1011.6,14.8,498
"1287",287,2013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,12.2,10,7.2,1023.8,8.5,615
"1288",779,2015,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8,6.8,12.5,1016.1,-2.7,650
"1289",1370,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,15.8,9.1,12.1,1021.3,12.4,662
"1290",784,2015,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9.2,9.2,1016.9,-2.2,464
"1291",1979,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,21.7,10,6.8,1015.8,18.6,651
"1292",447,2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.9,1.7,15.9,1001.5,7.1,437
"1293",2441,2019,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,13.8,7.8,22.4,1022.1,12,383
"1294",1254,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,16.7,10,9.2,1021.7,11.2,688
"1295",951,2015,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,23.3,4.8,6.9,1017.2,21.7,581
"1296",427,2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8,8.9,7,1010.7,-4.4,513
"1297",1515,2017,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.9,9.8,22,1008,-11.6,839
"1298",2275,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.2,7,16,1011.9,6.8,500
"1299",2050,2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16.8,9.5,15.4,1025.1,13,650
"1300",1615,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,17.9,9.9,9,1016.3,16.4,757
"1301",1729,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,15.4,10,10.7,1023.8,14.6,766
"1302",340,2013,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.1,10,10.1,1032.4,-7,456
"1303",1993,2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,18.3,10,5.4,1021.4,15.3,577
"1304",1231,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,13.2,6.8,10.7,1021.8,11.9,683
"1305",1165,2016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.3,5.9,13.6,1008.2,5.2,658
"1306",1291,2016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20.1,9.3,10.6,1018.3,16.9,569
"1307",571,2014,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,19.7,9,6.1,1023.5,17.2,667
"1308",1349,2016,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,17.3,5.7,13,1018.8,15.9,637
"1309",686,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12.7,4.5,17.8,1014.5,11.4,722
"1310",192,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,20.8,3.1,7.7,1015.9,19.9,599
"1311",1245,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,18.4,10,7.6,1009.1,13.5,689
"1312",645,2014,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,17.3,10,9.4,1025.4,14.7,697
"1313",1737,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,12.3,10,13.9,1015.5,6.4,759
"1314",2157,2018,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,9.1,4.1,16.3,1011.3,6.7,499
"1315",1984,2018,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,22.1,1.6,7.1,1025.4,21.7,720
"1316",2276,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.6,6.6,22.2,998.5,8.1,526
"1317",1815,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2,8.2,10.1,1032,-1.7,617
"1318",1029,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10.8,10,9.1,1029.7,3.2,615
"1319",1828,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.6,6.9,13.9,1021.4,3.2,531
"1320",634,2014,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,14.7,9.2,15.1,1016.5,12.2,719
"1321",318,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11.7,10,14.2,1022.7,3.9,617
"1322",1590,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,14.6,8.3,9.4,1013.4,9,737
"1323",542,2014,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,20.6,1.8,9.8,1015.3,19.6,740
"1324",1658,2017,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,19.5,8.2,7.5,1021.1,17.5,655
"1325",1214,2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.4,10,22.8,1012.1,-0.3,742
"1326",584,2014,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,19.9,9.1,11.2,1008.1,16,625
"1327",203,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,22.3,3.7,9.3,1007.1,21.1,571
