collision_date,contributing_factor,num_contributing_factor
2017-10-15,Tinted Windows,1
2016-01-26,Cell Phone (hands-free),2
2015-04-22,Cell Phone (hands-free),1
2016-03-03,Drugs (Illegal),2
2021-09-19,Tow Hitch Defective,1
2019-06-26,Vehicle Vandalism,1
2017-06-28,Headlights Defective,1
2017-09-15,Cell Phone (hand-Held),1
2022-04-24,Tow Hitch Defective,1
2022-08-18,Headlights Defective,1
2022-06-27,Tinted Windows,1
2020-09-09,Cell Phone (hand-Held),1
2017-05-29,Headlights Defective,1
2020-01-29,Cell Phone (hand-Held),1
2018-06-21,Shoulders Defective/Improper,1
2019-04-27,Vehicle Vandalism,1
2017-05-31,Cell Phone (hand-Held),1
2020-03-02,Tinted Windows,1
2018-06-02,Cell Phone (hand-Held),2
2016-12-08,Texting,1
2015-03-17,Drugs (Illegal),2
2022-10-22,Tow Hitch Defective,1
2014-03-23,Drugs (Illegal),3
2016-01-15,Drugs (Illegal),1
2014-10-29,Cell Phone (hands-free),3
2014-03-25,Drugs (Illegal),1
2013-08-16,Drugs (Illegal),1
2014-07-26,Drugs (Illegal),2
2012-10-17,Shoulders Defective/Improper,1
2019-11-04,Tow Hitch Defective,1
2019-12-16,Headlights Defective,1
2014-08-12,Headlights Defective,2
2019-08-04,Headlights Defective,1
2019-02-04,Cell Phone (hand-Held),1
2016-06-13,Headlights Defective,1
2020-07-25,Listening/Using Headphones,1
2018-08-10,Cell Phone (hands-free),1
2016-10-30,Using On Board Navigation Device,1
2014-10-23,Drugs (Illegal),1
2016-03-18,Headlights Defective,1
2016-01-24,Drugs (Illegal),2
2014-11-13,Headlights Defective,1
2018-10-25,Headlights Defective,1
2015-10-15,Cell Phone (hands-free),1
2014-09-23,Drugs (Illegal),3
2021-04-20,Vehicle Vandalism,1
2012-11-30,Drugs (Illegal),1
2016-02-20,Drugs (Illegal),1
2013-12-14,Drugs (Illegal),1
2015-12-10,Drugs (Illegal),2
2018-10-11,Headlights Defective,1
2022-01-11,Tinted Windows,1
2018-02-01,Cell Phone (hand-Held),1
2017-12-12,Headlights Defective,1
2012-07-13,Drugs (Illegal),1
2013-11-20,Drugs (Illegal),1
2020-11-07,Other Lighting Defects,1
2019-09-25,Headlights Defective,1
2017-10-18,Cell Phone (hand-Held),2
2013-11-07,Cell Phone (hands-free),2
2013-11-27,Cell Phone (hand-held),1
2012-08-04,Other Lighting Defects,1
2020-03-29,Tinted Windows,1
2016-03-25,80,2
2014-03-24,Drugs (Illegal),2
2013-11-19,Drugs (Illegal),2
2017-04-10,Shoulders Defective/Improper,1
2016-11-15,Tinted Windows,1
2019-12-12,Cell Phone (hand-Held),2
2021-03-18,Vehicle Vandalism,2
2016-04-07,1,1
2014-02-08,Shoulders Defective/Improper,1
2016-01-05,Drugs (Illegal),2
2021-01-17,Headlights Defective,1
2013-11-19,Tow Hitch Defective,2
2016-08-27,Tow Hitch Defective,2
2020-04-13,Cell Phone (hand-Held),1
2016-01-09,Other Lighting Defects,1
2018-06-01,Tinted Windows,1
2018-04-19,Cell Phone (hand-Held),1
2016-08-02,Shoulders Defective/Improper,2
2018-06-30,Tinted Windows,1
2018-11-20,Cell Phone (hand-Held),1
2018-05-02,Listening/Using Headphones,1
2022-11-06,Cell Phone (hand-Held),1
2016-08-06,Cell Phone (hand-Held),2
2021-10-06,Other Lighting Defects,1
2021-09-13,Tinted Windows,1
2014-12-31,Drugs (Illegal),1
2020-07-09,Cell Phone (hand-Held),1
2017-11-17,Headlights Defective,1
2013-12-07,Drugs (Illegal),1
2020-10-18,Headlights Defective,1
2017-05-29,Tinted Windows,1
2015-05-08,Shoulders Defective/Improper,2
2014-12-09,Drugs (Illegal),3
2021-06-03,Other Lighting Defects,1
2019-05-16,Tow Hitch Defective,2
2021-03-25,Tinted Windows,1
2019-01-28,Headlights Defective,1
2017-07-04,Other Lighting Defects,1
2020-06-27,Other Lighting Defects,1
2019-02-17,Other Lighting Defects,1
2013-04-20,Drugs (Illegal),1
2016-10-23,Cell Phone (hands-free),1
2020-10-13,Tow Hitch Defective,1
2018-06-08,Cell Phone (hand-Held),2
2019-05-31,Using On Board Navigation Device,1
2015-02-25,Shoulders Defective/Improper,1
2014-04-27,Cell Phone (hands-free),1
2013-12-28,Drugs (Illegal),2
2018-06-04,Vehicle Vandalism,2
2022-03-23,Using On Board Navigation Device,1
2016-03-16,Tinted Windows,1
2020-02-15,Cell Phone (hand-Held),1
2013-12-06,Headlights Defective,1
2019-04-26,Tow Hitch Defective,1
2015-06-01,Drugs (Illegal),2
2013-10-02,Cell Phone (hands-free),1
2014-06-02,Drugs (Illegal),2
2015-03-19,Other Lighting Defects,1
2014-06-22,Cell Phone (hand-held),1
2017-04-13,Cell Phone (hand-Held),2
2016-03-20,80,1
2016-06-28,Cell Phone (hand-Held),2
2015-04-09,Drugs (Illegal),2
2017-05-24,Cell Phone (hands-free),1
2013-10-29,Cell Phone (hand-held),1
2017-10-28,Using On Board Navigation Device,1
2012-11-11,Tow Hitch Defective,1
2016-05-18,Cell Phone (hands-free),1
2014-04-28,Drugs (Illegal),1
2013-08-20,Other Lighting Defects,1
2022-01-26,Cell Phone (hand-Held),1
2016-07-22,Cell Phone (hand-Held),1
2019-01-26,Tinted Windows,1
2018-12-31,Using On Board Navigation Device,1
2018-10-05,Cell Phone (hand-Held),3
2015-01-23,Cell Phone (hands-free),1
2022-05-09,Tinted Windows,2
2014-12-06,Drugs (Illegal),1
2020-01-28,Other Lighting Defects,1
2018-10-04,Cell Phone (hand-Held),2
2018-06-14,Vehicle Vandalism,1
2019-08-05,Listening/Using Headphones,1
2015-11-02,Cell Phone (hands-free),1
2012-11-19,Tow Hitch Defective,1
2016-03-07,Drugs (Illegal),1
2015-02-26,Drugs (Illegal),1
2015-05-28,Drugs (Illegal),1
2019-01-24,Eating or Drinking,1
2013-07-19,Drugs (Illegal),1
2015-09-24,Cell Phone (hands-free),1
2015-08-29,Cell Phone (hand-held),1
2014-08-26,Drugs (Illegal),1
2016-06-18,Tow Hitch Defective,1
2012-12-12,Windshield Inadequate,1
2019-07-13,Cell Phone (hand-Held),1
2016-07-27,Other Lighting Defects,1
2017-07-20,Texting,1
2019-10-12,Vehicle Vandalism,1
2018-09-15,Other Lighting Defects,1
2018-07-07,Shoulders Defective/Improper,1
2016-09-10,Shoulders Defective/Improper,2
2018-01-18,Cell Phone (hand-Held),1
2019-02-25,Eating or Drinking,2
2022-09-14,Vehicle Vandalism,1
2020-12-02,Cell Phone (hand-Held),2
2017-10-01,Headlights Defective,1
2016-06-04,Tow Hitch Defective,1
2019-04-07,Tinted Windows,1
2018-01-30,Windshield Inadequate,2
2018-08-02,Eating or Drinking,1
2016-11-17,Cell Phone (hands-free),1
2019-03-30,Using On Board Navigation Device,1
2016-03-26,Using On Board Navigation Device,1
2017-07-09,Eating or Drinking,1
2016-08-25,Vehicle Vandalism,2
2020-11-17,Tinted Windows,1
2017-11-28,Cell Phone (hand-Held),1
2018-03-28,Vehicle Vandalism,1
2018-11-28,Tow Hitch Defective,1
2021-09-23,Other Lighting Defects,1
2020-01-10,Cell Phone (hand-Held),1
2017-04-01,Eating or Drinking,1
2021-08-04,Cell Phone (hand-Held),1
2020-11-24,Vehicle Vandalism,1
2016-03-14,Tinted Windows,1
2017-01-27,Cell Phone (hand-Held),1
2019-12-19,Cell Phone (hand-Held),1
2019-01-30,Vehicle Vandalism,1
2017-08-04,Tow Hitch Defective,1
2020-01-18,Windshield Inadequate,1
2022-05-30,Windshield Inadequate,1
2022-09-09,Other Lighting Defects,1
2019-04-19,Vehicle Vandalism,1
2019-06-30,Cell Phone (hand-Held),1
2018-08-15,Using On Board Navigation Device,1
